TF,Cell type,Genome,GEO ID
AATF,NALM-6,hg19,['GSM2459096']
ABF1,BY4741,sacCer3,"['GSM3011687', 'GSM3011688']"
ABF1,Unclassified,sacCer3,['GSM2916412']
ADNP2,LoVo,hg19,['GSM1239548']
AEBP2,NT2-D1,hg19,"['GSM3625699', 'GSM3625700', 'GSM3908346', 'GSM3908347', 'GSM3908364', 'GSM3908365']"
AFF1,293,hg19,"['GSM2373704', 'GSM2373707', 'GSM2373708']"
AFF1,MV-4-11,hg19,['GSM1897371']
AFF1,NCI-H2171,hg19,"['GSM3073929', 'GSM3073930']"
AFF1,Pre-B cell leukemia,hg19,"['GSM2373717', 'GSM2373718', 'GSM2373719', 'GSM2373720', 'GSM2373721', 'GSM2373722']"
AFF1,RS4-11,hg19,['GSM941544']
AFF1,SEM,hg19,"['GSM1934097', 'GSM2364545', 'GSM2364548', 'GSM3444960', 'GSM3444961']"
AFF1,SW 1271,hg19,"['GSM3073931', 'GSM3073932']"
AFF1,Unclassified,hg19,['GSM2364551']
AFF4,293,hg19,"['GSM841736', 'GSM2373703']"
AFF4,HCT 116,hg19,"['GSM749818', 'GSM749819', 'GSM749822', 'GSM749823', 'GSM1727069', 'GSM1727070', 'GSM1727071', 'GSM1727072', 'GSM1162745']"
AFF4,HeLa,hg19,"['GSM1405078', 'GSM1405079', 'GSM1405080', 'GSM1405081', 'GSM1405082', 'GSM1405083', 'GSM1405084', 'GSM1405085']"
AFF4,MV-4-11,hg19,"['GSM2405923', 'GSM2405927']"
AFF4,NCI-H2171,hg19,"['GSM3073933', 'GSM3073934']"
AFF4,SEM,hg19,"['GSM3444954', 'GSM3444957']"
AFF4,SW 1271,hg19,"['GSM3073935', 'GSM3073936']"
AFF4,Th1 Cells,hg19,"['GSM1961563', 'GSM1961564']"
AGO1,Hep G2,hg19,['GSM3393552']
AGO1,K-562,hg19,['GSM3393600']
AGO1,MCF 10A,hg19,"['GSM1369951', 'GSM1369959']"
AGO1,MCF-7,hg19,"['GSM1369944', 'GSM1369958']"
AGO1,PC-3,hg19,['GSM995943']
AGO2,Hep G2,hg19,['GSM3393553']
AGO2,K-562,hg19,"['GSM1682261', 'GSM1682262', 'GSM1682263', 'GSM1682264', 'GSM1682265']"
AGO2,Kc167,dm3,"['GSM2510056', 'GSM2510057', 'GSM2510058', 'GSM2510059', 'GSM3263443', 'GSM3263444', 'GSM3263445', 'GSM3263446']"
AGO2,PC-3,hg19,['GSM995944']
AGO2,S2,dm3,"['GSM561053', 'GSM692422', 'GSM1239358', 'GSM1239359']"
AGO2,S3,dm3,['GSM561055']
AHCTF1,LoVo,hg19,['GSM1239488']
AHR,Embryonic Stem Cells,hg19,"['GSM3452845', 'GSM3452846']"
AHR,GM17212,hg19,"['GSM3244480', 'GSM3244481', 'GSM3244483', 'GSM3244484']"
AHR,MCF-7,hg19,"['GSM1024799', 'GSM2406722', 'GSM2406723', 'GSM2406726', 'GSM2406727']"
AHR,T HESCs,hg19,"['GSM3329510', 'GSM3329511', 'GSM3329512', 'GSM3329513']"
AHRR,MCF-7,hg19,"['GSM2406724', 'GSM2406725']"
ALKBH1,Glioblastoma,hg19,['GSM3357602']
ALKBH3,PC-3,hg19,['GSM1385219']
ALYREF,293,hg19,"['GSM3759262', 'GSM3759263']"
AML1-ETO,Kasumi-1,hg19,"['GSM2150334', 'GSM2150335', 'GSM1113429', 'GSM1113430', 'GSM3165519', 'GSM3165530', 'GSM3762856', 'GSM3762857', 'GSM3762858', 'GSM3762859']"
AML1-ETO,Spleen,mm9,"['GSM2896239', 'GSM2896240']"
APC,HCT 116,hg19,"['GSM2639664', 'GSM2639666', 'GSM2785713']"
AR,22Rv1,hg19,"['GSM353640', 'GSM984389', 'GSM984390', 'GSM2277158', 'GSM2277159', 'GSM2537212', 'GSM2537213', 'GSM2734938', 'GSM2734939', 'GSM2734942', 'GSM2734943', 'GSM2495649', 'GSM2495650', 'GSM2495651', 'GSM2495652', 'GSM2495653', 'GSM2495654', 'GSM2495655', 'GSM2495656', 'GSM3508091', 'GSM3508094', 'GSM3508097', 'GSM3508100', 'GSM3508111', 'GSM3508113', 'GSM3508115', 'GSM3508121', 'GSM3508123', 'GSM3508125', 'GSM1412317', 'GSM1412318', 'GSM1412319']"
AR,293,hg19,"['GSM1308228', 'GSM1308229', 'GSM1308230', 'GSM1308231', 'GSM1308232', 'GSM1308233']"
AR,A-375,hg19,"['GSM3212792', 'GSM3212793']"
AR,Breast cancer,hg19,"['GSM2797087', 'GSM2797120', 'GSM2797121', 'GSM2797122', 'GSM2797123', 'GSM2797124', 'GSM2797125', 'GSM2797126', 'GSM2797127', 'GSM2797128']"
AR,Breast cancer cells,hg19,"['GSM3660468', 'GSM3660469', 'GSM3660470', 'GSM3660471', 'GSM3660472', 'GSM3660473', 'GSM3660474', 'GSM3660475', 'GSM3660476']"
AR,C4-2,hg19,"['GSM1843409', 'GSM1843410', 'GSM1843411', 'GSM1843412', 'GSM1868862', 'GSM1868863', 'GSM1868866', 'GSM1868867', 'GSM984380', 'GSM984381', 'GSM984382', 'GSM984383', 'GSM984385', 'GSM2579122', 'GSM1328165', 'GSM1328166', 'GSM1501188', 'GSM1501189', 'GSM1501190', 'GSM1501191', 'GSM1586658', 'GSM1586659', 'GSM1586660', 'GSM1586661']"
AR,CWR22,hg19,"['GSM1527033', 'GSM1527034', 'GSM1527035', 'GSM1527036']"
AR,DU 145,hg19,"['GSM1691160', 'GSM1691161', 'GSM1164141', 'GSM1164142', 'GSM1164143', 'GSM1164149', 'GSM1164150', 'GSM1164151', 'GSM1164152', 'GSM1164153', 'GSM1164154']"
AR,Dermal fibroblast,hg19,['GSM2864778']
AR,Epididymis,hg19,"['GSM2929023', 'GSM2929024', 'GSM2929025', 'GSM2929026']"
AR,Fetal prostate fibroblasts,hg19,['GSM2412292']
AR,LHSAR,hg19,"['GSM1716765', 'GSM1716766', 'GSM1716767', 'GSM1716768', 'GSM1716769', 'GSM1716770']"
AR,LNCAP,hg19,"['-', '-', '-', 'GSM353641', 'GSM353642', 'GSM353643', 'GSM353644', 'GSM759657', 'GSM759658', 'GSM759659', 'GSM759660', 'GSM775364', 'GSM775365', 'GSM1691138', 'GSM1691139', 'GSM1691140', 'GSM1691141', 'GSM1691147', 'GSM1691150', 'GSM1691153', 'GSM1691156', 'GSM1907199', 'GSM1907200', 'GSM1907201', 'GSM1907202', 'GSM916521', 'GSM916522', 'GSM923508', 'GSM923509', 'GSM2058893', 'GSM2058894', 'GSM969565', 'GSM2092844', 'GSM2092845', 'GSM2122579', 'GSM2122580', 'GSM2122581', 'GSM2122804', 'GSM2122805', 'GSM980647', 'GSM980648', 'GSM980649', 'GSM980650', 'GSM980651', 'GSM980652', 'GSM980662', 'GSM980663', 'GSM984386', 'GSM984387', 'GSM984388', 'GSM2186461', 'GSM2186462', 'GSM2186463', 'GSM2186464', 'GSM2186465', 'GSM2186466', 'GSM2219852', 'GSM2219853', 'GSM2219854', 'GSM2219855', 'GSM2219856', 'GSM2219857', 'GSM2219858', 'GSM2219859', 'GSM2277148', 'GSM2277149', 'GSM2302964', 'GSM2302965', 'GSM2302967', 'GSM2302968', 'GSM1069669', 'GSM1069670', 'GSM1069681', 'GSM1069682', 'GSM2393829', 'GSM2393831', 'GSM2393833', 'GSM2393835', 'GSM2393837', 'GSM2393839', 'GSM2393841', 'GSM2393843', 'GSM2427947', 'GSM2427948', 'GSM2427950', 'GSM2427951', 'GSM2478572', 'GSM2480800', 'GSM2480801', 'GSM2480802', 'GSM2480803', 'GSM1145324', 'GSM1145325', 'GSM2716917', 'GSM2716919', 'GSM2716921', 'GSM2716923', 'GSM1174480', 'GSM1174481', 'GSM1174482', 'GSM1174483', 'GSM1174484', 'GSM1174485', 'GSM1174486', 'GSM1174487', 'GSM1174488', 'GSM1174490', 'GSM1174491', 'GSM2842664', 'GSM2842665', 'GSM2842667', 'GSM2842668', 'GSM2842669', 'GSM2842671', 'GSM2842688', 'GSM2842689', 'GSM2842692', 'GSM2842693', 'GSM2842694', 'GSM2842695', 'GSM2842700', 'GSM2842701', 'GSM2842704', 'GSM2842705', 'GSM2842708', 'GSM2842709', 'GSM2891165', 'GSM2891166', 'GSM2891167', 'GSM1236921', 'GSM1236922', 'GSM1236925', 'GSM1236926', 'GSM1274871', 'GSM1274872', 'GSM3076092', 'GSM3138717', 'GSM3138718', 'GSM3138719', 'GSM3138720', 'GSM3148986', 'GSM3148987', 'GSM3148988', 'GSM3148989', 'GSM3149022', 'GSM3149023', 'GSM3294587', 'GSM3294588', 'GSM3294597', 'GSM3294598', 'GSM3294599', 'GSM3294600', 'GSM1328168', 'GSM1328169', 'GSM3408176', 'GSM3408178', 'GSM3577144', 'GSM3577145', 'GSM3577146', 'GSM3577147', 'GSM3577148', 'GSM3577149', 'GSM3586369', 'GSM3687960', 'GSM3687961', 'GSM3687962', 'GSM3687963', 'GSM3687964', 'GSM3687965', 'GSM3687966', 'GSM3687967', 'GSM3687968', 'GSM3687969', 'GSM3687970', 'GSM3687971', 'GSM3687972', 'GSM3687973', 'GSM3687974', 'GSM3687975', 'GSM3687976', 'GSM3687977', 'GSM1410782', 'GSM1410787', 'GSM1410790', 'GSM4087681', 'GSM4087682', 'GSM4087683', 'GSM4087684', 'GSM1501184', 'GSM1501185', 'GSM1501186', 'GSM1501187', 'GSM1527822', 'GSM1527823', 'GSM1527834', 'GSM1527835', 'GSM1527843', 'GSM1527844', 'GSM1543774', 'GSM1586662', 'GSM1586663', 'GSM1586664', 'GSM1586665', 'GSM1613310', 'GSM1613312', 'GSM1613316', 'GSM1613320']"
AR,LREX,hg19,['GSM1246572']
AR,Localized prostate,hg19,"['GSM3349087', 'GSM3349088', 'GSM3349089', 'GSM3349090']"
AR,MCF-7,hg19,['GSM2797088']
